,Vacancies,Companies,Deadlines,Locations,Individual Pages
222,Specialist 1C (8.3 program),ՇԻՆԱՐԱՐԱԿԱՆ ՍՊԸ,19 July 2020,Yerevan,https://staff.am/en/specialist-1c-83-program
223,Customer Service Specialist(night shift job),Commonwealth Casualty Company,19 July 2020,Yerevan,https://staff.am/en/customer-service-specialistnight-shift-job-3
224,Վարորդ,AREGAK UCO CJSC,03 July 2020,Ashotsk,https://staff.am/en/varord-39
225,Գրասենյակի օգնական,AREGAK UCO CJSC,03 July 2020,Ashotsk,https://staff.am/en/grasenyaki-ognakan-4
226,Հաշվետար,Մեհրաբյան և որդիներ ՍՊԸ,19 July 2020,Yerevan,https://staff.am/en/hasvetar-51
227,Human Resources Expert,International Development Group LLC,17 July 2020,Yerevan,https://staff.am/en/human-resources-expert
228,Graphic designer,IMEX GROUP,19 July 2020,Yerevan,https://staff.am/en/graphic-designer-365
229,Marketing Specialist,IMEX GROUP,19 July 2020,Yerevan,https://staff.am/en/marketing-specialist-214
230,Security worker,IMEX GROUP,19 July 2020,Yerevan,https://staff.am/en/security-worker-3
231,Senior Golang Developer,All.me LLC,15 July 2020,Yerevan,https://staff.am/en/senior-golang-developer-7
232,"Designer, packaging construction, sample maker",TIARA LLC,19 July 2020,Yerevan,https://staff.am/en/designer-packaging-construction-sample-maker-1
233,UI/UX Designer,Routetitan,19 July 2020,Yerevan,https://staff.am/en/uiux-designer-392
234,Sponsorship Assistant,World Vision Armenia,03 July 2020,Aparan,https://staff.am/en/sponsorship-assistant-7
235,Project Manager,WEBIHUB,19 July 2020,Yerevan,https://staff.am/en/project-manager-259
236,Java Engineer (Game),Rockbite Games,19 July 2020,Yerevan,https://staff.am/en/java-engineer-game-4
237,Հաշվապահ-հաշվետար,Հայաստանում ֆրանսիական համալսարան/ French University in Armenia (UFAR),02 July 2020,Yerevan,https://staff.am/en/hasvapah-hasvetar-8
238,Administrative Officer,World Vision Armenia,30 June 2020,Yerevan,https://staff.am/en/administrative-officer
239,Մարքեթինգի բաժնի պատասխանատու,ASEDL LLC,19 July 2020,Yerevan,https://staff.am/en/marketingi-bazni-patasxanatu-6
240,Senior QA Automation Engineer,Polixis,19 July 2020,Yerevan,https://staff.am/en/senior-qa-automation-engineer-14
241,PHP / Laravel developer,X-TECH Creative Studio,19 July 2020,Yerevan,https://staff.am/en/php-laravel-developer-36
242,Junior Database Administrator,ACBA-CREDIT AGRICOLE BANK CJSC,19 July 2020,Yerevan,https://staff.am/en/junior-database-administrator-6
243,Android developer,All.me LLC,02 July 2020,Yerevan,https://staff.am/en/android-developer-243
244,Mid React.js developer,Cypress,19 July 2020,Yerevan,https://staff.am/en/mid-reactjs-developer-7
245,Web & Graphic Designer,ONEX LLC,19 July 2020,Yerevan,https://staff.am/en/web-graphic-designer
246,Senior Android Developer (m/f/d) Pilot,TeamViewer Armenia,19 July 2020,Yerevan,https://staff.am/en/senior-android-developer-mfd-pilot-12
247,Senior C++ Engineer (m/f/d) IoT,TeamViewer Armenia,19 July 2020,Yerevan,https://staff.am/en/senior-c-engineer-mfd-iot-9
248,German teacher,Հայաստանում Եվրոպական Վարժարան հիմնադրամ,18 July 2020,Yerevan,https://staff.am/en/german-teacher
249,Учитель русского языка,Հայաստանում Եվրոպական Վարժարան հիմնադրամ,18 July 2020,Yerevan,https://staff.am/en/ucitel-russkogo-azyka-3
250,Business Process Specialist,Digitain ,18 July 2020,Yerevan,https://staff.am/en/business-process-specialist-15
251,Financial Internal Auditor,Digitain ,18 July 2020,Yerevan,https://staff.am/en/financial-internal-auditor-15
252,Հաշվետար,EmexAuto,18 July 2020,Yerevan,https://staff.am/en/hasvetar-48
253,Պայմանագրային բաժնի մասնագետ,«Արմենիան Լիզինգ Քամփնի» ՈՒՎԿ ՓԲԸ,17 July 2020,Yerevan,https://staff.am/en/paymanagrayin-bazni-masnaget
254,Senior Backend Engineer,PicsArt,30 June 2020,Yerevan,https://staff.am/en/senior-backend-engineer-1
255, accountant,Constant Consulting,30 June 2020,Yerevan,https://staff.am/en/accountant-460
256,Full stack web developer,SmartSoft LLC,18 July 2020,Yerevan,https://staff.am/en/full-stack-web-developer-89
257,Senior iOS/MacOS Developer (m/f/d) Pilot,TeamViewer Armenia,18 July 2020,Yerevan,https://staff.am/en/senior-iosmacos-developer-mfd-pilot-3
258,Senior .Net Developer,Fast Shift LLC,18 July 2020,Yerevan,https://staff.am/en/senior-net-developer-152
259,Junior Business Process Specialist,SoftConstruct,02 July 2020,Yerevan,https://staff.am/en/junior-business-process-manager
260,IT Business Analyst ,Webb Fontaine Holding LLC,18 July 2020,Yerevan,https://staff.am/en/it-business-analyst-39
261,Customer care,SHIPEX,18 July 2020,Yerevan,https://staff.am/en/customer-care-5
262,Senior Go Developer (Backend),ООО ГК В приоритете,18 July 2020,Yerevan,https://staff.am/en/backend-razrabotcik-5
263,Support Specialist,Margasoft Corp,18 July 2020,Yerevan,https://staff.am/en/support-specialist-10
264,German Speaking Sales Representative,Envirotech,18 July 2020,Yerevan,https://staff.am/en/german-speaking-sales-representative-1
265,Software Engineer,Vehere,18 July 2020,Yerevan,https://staff.am/en/software-engineer-65
266,Marketing Manager,Synergy International Systems,18 July 2020,Yerevan,https://staff.am/en/marketing-manager-134
267,Financial Analyst,The LOFT,18 July 2020,Yerevan,https://staff.am/en/financial-analyst-68
268,Android Developer-Consultаnt,All.me LLC,30 June 2020,Yerevan,https://staff.am/en/android-developer-consultant
269,Front-End developer,WEBIHUB,15 July  2020,Yerevan,https://staff.am/en/senior-htmlcss-developer-1
270,Mid C++ Developer ,Softhenge,18 July 2020,Yerevan,https://staff.am/en/mid-c-developer
271,Wine loving servers,In Vino,18 July 2020,Yerevan,https://staff.am/en/wine-loving-servers-7
272,.Net software developer,Canar,18 July 2020,Yerevan,https://staff.am/en/net-software-developer-12
273,Marketing Manager,ABC Pharmacia,18 July 2020,Yerevan,https://staff.am/en/marketing-manager-133
274,Product Manager,Seven Smarts LLC,18 July 2020,Yerevan,https://staff.am/en/product-manager-152
275,Medical Representative,ABC Pharmacia,18 July 2020,Yerevan,https://staff.am/en/medical-representative-36
276,Commercial director,Atenk Ltd,12 July 2020,Yerevan,https://staff.am/en/commercial-director-22
277,Group Financial Reporting Specialist,SoftConstruct,06 July 2020,Yerevan,https://staff.am/en/group-financial-reporting-specialist-10
278,Financial Risks Specialist,Digitain ,17 July 2020,Yerevan,https://staff.am/en/financial-risks-specialist-12
279,Marketing Manager (Sweden),SoftConstruct,01 July 2020,Yerevan,https://staff.am/en/marketing-manager-130
280,Partner Support Specialist,Digitain ,17 July 2020,Yerevan,https://staff.am/en/partner-support-specialist-1
281,Turkish Speaking Partner Service Specialist,Digitain ,17 July 2020,Yerevan,https://staff.am/en/turkish-speaking-partner-service-specialist-2
282,IT Project Manager ,ՋՈՅՆԹՈՒՀԱՅՐ ,17 July 2020,Yerevan,https://staff.am/en/it-project-manager-80
283,iOS developer,Varmtech,17 July 2020,Yerevan,https://staff.am/en/ios-developer-223
284,"JavaScript, MERN Stack Developer",Varmtech,17 July 2020,Yerevan,https://staff.am/en/javascript-mern-stack-developer-1
285,Finance Assistant,Holiday Inn Express Yerevan,17 July 2020,Yerevan,https://staff.am/en/finance-assistant-7
286,Back Office Specialist,ACBA-CREDIT AGRICOLE BANK CJSC,17 July 2020,Yerevan,https://staff.am/en/back-office-specialist-27
287,Customer Support Agent – English Languages (Mixed shifts),SoftConstruct,30 June 2020,Yerevan,https://staff.am/en/customer-support-agent-english-languages-mixed-shifts-1
288,Senior Graphic Designer,Digitain ,17 July 2020,Yerevan,https://staff.am/en/senior-graphic-designer-31
289,Ֆայլ պատրաստող մասնագետ,GAT Cutting LLC,17 July 2020,Yerevan,https://staff.am/en/fayl-patrastog-masnaget
290,Accounting Manager ,Գրանթ Թորնթոն ՓԲԸ,06 July 2020,Yerevan,https://staff.am/en/accounting-manager-6
291,Corporate Affairs and PR Manager ,Dexatel ,17 July 2020,Yerevan,https://staff.am/en/corporate-affairs-and-pr-manager
292,Senior Angular Developer,HackTech LLC,17 July 2020,Yerevan,https://staff.am/en/senior-angular-developer-7
293,iOS Developer,All.me LLC,30 June 2020,Yerevan,https://staff.am/en/ios-developer-221
294,Head of Card Issuance Unit,ID Bank CJSC,30 June 2020,Yerevan,https://staff.am/en/karteri-togarkman-bazni-gekavar
295,Logistics Operator,Aras Food LLC,13 July 2020,Yerevan,https://staff.am/en/logistics-operator-6
296,Լawyer,SmartCredit UCO LLC,17 July 2020,Yerevan,https://staff.am/en/lawyer-79
297,Junior CRM Specialist,Digitain ,17 July 2020,Yerevan,https://staff.am/en/junior-crm-specialist
298,Front-end Deleloper,Aratours Travel Services LLC,16 July 2020,Yerevan,https://staff.am/en/web-designer-71
299,User Success Specialist,PicsArt,30 June 2020,Yerevan,https://staff.am/en/user-success-specialist
300,Sales Manager,ERC Distribution Georgia,16 July 2020,Yerevan,https://staff.am/en/sales-manager-404
301,Sales Consultant,Consel LLC,16 July 2020,Yerevan,https://staff.am/en/sales-consultant-274
302,Android Developer,Soft Vision LLC,16 July 2020,Yerevan,https://staff.am/en/android-developer-240
303,Պահեստապետի օգնական,Atenk Ltd,30 June 2020,Abovyan,https://staff.am/en/pahestapeti-ognakan-23
304,Բժշկասոցիալական փորձաքննության գրասենյակի բժշկասոցիալական փորձաքննական բաժինների բժիշկ-փորձագետ ,ՀՀ աշխատանքի և սոցիալական հարցերի նախարարություն,31 July 2020,Yerevan,https://staff.am/en/bzskasocialakan-porjaknnutyan-grasenyaki-bzskasocialakan-porjaknnakan-bazinneri-bzisk-porjaget-2
305,Backend Developer,Exsol LLC,16 July 2020,Yerevan,https://staff.am/en/backend-developer-31
306,Front-end Developer,Exsol LLC,16 July 2020,Yerevan,https://staff.am/en/front-end-developer-358
307,Product Owner,Synergy International Systems,16 July 2020,Yerevan,https://staff.am/en/product-owner-136
308,PR & SALES Manager,Decart studio,16 July 2020,Yerevan,https://staff.am/en/pr-sales-manager-4
309,Platform Engineer ,DISQO,16 July 2020,Yerevan,https://staff.am/en/platform-engineer-wgolang-2
310,"Engineering Manager, Mobile",DISQO,16 July 2020,Yerevan,https://staff.am/en/engineering-manager-mobile-6
311,Senior Full Stack Java Web Developer,Polixis,16 July 2020,Yerevan,https://staff.am/en/full-stack-java-developer
312,Հասարակայնության հետ կապերի մասնագետ,EcoVille LLC,05 July 2020,Yerevan,https://staff.am/en/hasarakaynutyan-het-kaperi-masnaget
313,Senior Frontend Engineer (HTML/CSS),PicsArt,30 June 2020,Yerevan,https://staff.am/en/senior-frontend-engineer-htmlcss
314,Full-Stack Developer ,ՋՈՅՆԹՈՒՀԱՅՐ ,16 July 2020,Yerevan,https://staff.am/en/full-stack-developer-117
315,Նախագծի ղեկավարի օգնական,Atenk Ltd,30 June 2020,Yerevan,https://staff.am/en/naxagci-gekavari-ognakan-7
316,Նախագծային բաժնի ղեկավար,«Վաելկոն» ՍՊԸ,16 July 2020,Yerevan,https://staff.am/en/naxagcayin-bazni-gekavar-2
317,"Ջերմագազամատակարարման և օդափոխության (HVAC) ճարտարագետ, նախագծող",«Վաելկոն» ՍՊԸ,16 July 2020,Yerevan,https://staff.am/en/jermagazamatakararman-ev-odapoxutyan-hvac-cartaraget-naxagcog
318,Unity 3D Team Lead,Digitain ,16 July 2020,Yerevan,https://staff.am/en/unity-3d-team-lead-1
319,Projects Implementation Manager,Digitain ,12 July 2020,Yerevan,https://staff.am/en/projects-implementation-manager-6
320,B2B Account Manager,Digitain ,12 July 2020,Yerevan,https://staff.am/en/b2b-account-manager
321,Full Stack Web/WordPress Developer,NOORLOGIC LLC,15 July 2020,Yerevan,https://staff.am/en/full-stack-web-developer-86
322,Support Specialist (With knowledge of Portuguese),All.me LLC,30 June 2020,Yerevan,https://staff.am/en/support-specialist-with-knowledge-of-portuguese-1
323,IT Technical Support Specialist,Digitain ,15 July 2020,Yerevan,https://staff.am/en/it-technical-support-specialist-22
324,Technical Writer,SoftConstruct,15 July 2020,Yerevan,https://staff.am/en/technical-content-writer-3
325,Production manager,ASEDL LLC,15 July 2020,Yerevan,https://staff.am/en/production-manager-16
326,Reporting Analyst,WEBIHUB,15 July 2020,Yerevan,https://staff.am/en/reporting-analyst-18
327,Senior Customer Care Specialist,Krisp,15 July 2020,Yerevan,https://staff.am/en/senior-customer-care-specialist-37
328,Sales Executive ,Synergy International Systems,15 July 2020,Yerevan,https://staff.am/en/sales-executive-11
329,Back-end Developer,Cypress,12 July 2020,Yerevan,https://staff.am/en/senior-nodejs-developer-60
330,Illustrator,Renderforest,15 July 2020,Yerevan,https://staff.am/en/illustrator-27
331,Chief Operating Officer,Armenian Code Academy ,15 July 2020,Yerevan,https://staff.am/en/chief-operating-officer-6
332, Kubernetes/Spring Engineer,Rockbite Games,01 July 2020,Yerevan,https://staff.am/en/kubernetesspring-engineer
333, Technical Support Specialist,BlueNet,15 July 2020,Yerevan,https://staff.am/en/technical-support-specialist-108
334,Project Coordinator,Armenian Code Academy ,15 July 2020,Yerevan,https://staff.am/en/project-coordinator-36
335,Junior Digital Marketing Specialist,eworld,15 July 2020,Yerevan,https://staff.am/en/junior-digital-marketing-specialist-4
336,Senior Software Tester ,Macadamian AR,15 July 2020,Yerevan,https://staff.am/en/senior-software-tester-1
337,Senior Software Developer,Macadamian AR,15 July 2020,Yerevan,https://staff.am/en/senior-software-developer-24
338,Media Planning Specialist,Digitain ,01 July 2020,Yerevan,https://staff.am/en/media-planning-specialist-5
339,Customer Support Agent – Swedish Languages (Mixed shifts),SoftConstruct,30 June 2020,Yerevan,https://staff.am/en/customer-support-agent-swedish-languages-mixed-shifts-1
340,Mid/Senior PHP Developer,WeemTech,15 July 2020,Yerevan,https://staff.am/en/midsenior-php-developer
341,Customer Support Agent – German Language (Mixed shifts),SoftConstruct,30 June 2020,Yerevan,https://staff.am/en/customer-support-agent-german-language-mixed-shifts-9
342,Վաճառքի տնօրեն,Flash,15 July 2020,Yerevan,https://staff.am/en/vacarki-tnoren-4
343,Վարկային մասնագետ Սիսիան մասնաճյուղում,SEF International UCO ,30 June 2020,Sisian,https://staff.am/en/varkayin-masnaget-sisian-masnacyugum-1
344,1C System Developer,IMEX GROUP,15 July 2020,Yerevan,https://staff.am/en/1c-system-developer-3
345,Տարածքային վաճառքի մենեջեր,360° ՇԻՆԲԱԶԱ,15 July 2020,Yerevan,https://staff.am/en/tarackayin-vacarki-menejer-1
346,Kotlin Software Engineer,Essential,15 July 2020,Yerevan,https://staff.am/en/senior-java-software-engineer-67
347,Շինարարության և գույքային ապահովման կազմակերպման պատասխանատու ,Digitain ,15 July 2020,Yerevan,https://staff.am/en/sinararutyan-ev-guykayin-apahovman-kazmakerpman-patasxanatu
348,Senior .NET Developer,VOLO,12 July 2020,Yerevan,https://staff.am/en/senior-net-developer-149
349,Web developer,IMEX GROUP,15 July 2020,Yerevan,https://staff.am/en/web-developer-104
350,Assistant Project Manager,SoftConstruct,30 June 2020,Yerevan,https://staff.am/en/assistant-project-manager-4
351,Digital Marketing Specialist ,WIC WorldCom International ,14 July 2020,Yerevan,https://staff.am/en/digital-marketing-specialist-210
352,User Acquisition Manager,Zoomerang,14 July 2020,Yerevan,https://staff.am/en/user-acquisition-manager
353,Digital Marketing Specialist,Zoomerang,14 July 2020,Yerevan,https://staff.am/en/digital-marketing-specialist-207
354,SMM specialist,Zoomerang,14 July 2020,Yerevan,https://staff.am/en/smm-specialist-327
355,Senior Front-End Engineer,Ultralabs AM,13 July 2020,Yerevan,https://staff.am/en/senior-front-end-engineer-15
356,Lead Software Engineer,Ultralabs AM,13 July 2020,Yerevan,https://staff.am/en/lead-software-engineer-7
357,Telephone Survey Specialist,Adjarabet.am,30 June 2020,Yerevan,https://staff.am/en/telephone-survey-specialist-6
358,Customer Retention Manager,Adjarabet.am,15 July 2020,Yerevan,https://staff.am/en/casino-crm-9
359, Team Manager (m/f/d) Remote Management,TeamViewer Armenia,13 July 2020,Yerevan,https://staff.am/en/team-manager-mfd-remote-management
360,Full stack developer (Laravel+Vue.JS),Algorithm Solutions LLC,12 July 2020,Yerevan,https://staff.am/en/full-stack-developer-laravelvuejs
361,Chief Accountant,՞Հիմա՞ ՈՒՎԿ ՍՊԸ,01 July 2020,Yerevan,https://staff.am/en/chief-accountant-81
362,Technical Designer,Digitain ,12 July 2020,Yerevan,https://staff.am/en/technical-designer-10
363,Customer Support Agent – Ukrainian Language (Mixed shifts),SoftConstruct,30 June 2020,Yerevan,https://staff.am/en/customer-support-agent-ukrainian-language-mixed-shifts-1
364,Head of transport department,IMEX GROUP,12 July 2020,Yerevan,https://staff.am/en/head-of-transport-department-1
365,Senior Product Designer,PicsArt,30 June 2020,Yerevan,https://staff.am/en/senior-product-designer-4
366,Ընդունարանի աշխատակից,Medline Clinic LLC,12 July 2020,Yerevan,https://staff.am/en/ndunarani-asxatakic-8
367,CFO ,Haypost CJSC,12 July 2020,Yerevan,https://staff.am/en/cfo-7
368,Customer Care Manager,Haypost CJSC,12 July 2020,Yerevan,https://staff.am/en/customer-care-manager-2
369,Ֆինանսական վերլուծաբան,Yerevan Chocolate Company CJSC,12 July 2020,Yerevan,https://staff.am/en/finansakan-verlucaban-25
370,Technical Support Engineer ,National Instruments AM LLC,12 July 2020,Yerevan,https://staff.am/en/technical-support-engineer-40
371,Հաշվապահ,Անդակո ՍՊԸ,12 July 2020,Yerevan,https://staff.am/en/hasvapah-229
372,Seroond Schools Project Lead,Teach For Armenia,30 June 2020,Ijevan,https://staff.am/en/seroond-schools-project-lead
373,Senior IT Monitoring Specialist,Digitain ,12 July 2020,Yerevan,https://staff.am/en/senior-it-monitoring-specialist-21
374,Senior DevOps Engineer ,Digitain ,12 July 2020,Yerevan,https://staff.am/en/senior-devops-engineer-37
375,Front End Developer (Mobile) ,Telcell CJSC,12 July 2020,Yerevan,https://staff.am/en/front-end-developer-mobile
376,.Net Developer,RedKiteLLC,12 July 2020,Yerevan,https://staff.am/en/net-developer-142
377,Front End Developer (ATM Terminals),Telcell CJSC,12 July 2020,Yerevan,https://staff.am/en/front-end-developer-atm-terminals
378,Building Permit Technician,California Permits ,11 July 2020,Yerevan,https://staff.am/en/building-permit-technician-2
379,Marketing Specialist,California Permits ,11 July 2020,Los Angeles,https://staff.am/en/marketing-specialist-211
380,Sales Agent,Reload Freight,11 July 2020,Yerevan,https://staff.am/en/sales-agent-18
381,Client Success Representative,MoveCo Solutions Inc,11 July 2020,Yerevan,https://staff.am/en/client-success-representative-4
382,Customer Service Specialist (Meghri branch),ACBA-CREDIT AGRICOLE BANK CJSC,30 June 2020,Meghri,https://staff.am/en/customer-service-specialist-71
383,Միջազգային բեռնափոխադրումների մենեջեր,Fairyland Group,11 July 2020,Yerevan,https://staff.am/en/mijazgayin-bernapoxadrumneri-menejer-1
384,SMM Specialist,Haypost CJSC,11 July 2020,Yerevan,https://staff.am/en/smm-specialist-325
385,UI/UX designer ,Fast Shift LLC,11 July 2020,Yerevan,https://staff.am/en/uiux-designer-386
386,Senior Database Administrator,Ucom CJSC,11 July 2020,Yerevan,https://staff.am/en/senior-database-administrator-6
387,Office coordinator, Children of Armenia Charitable Fund,30 June 2020,Yerevan,https://staff.am/en/office-coordinator-6
388,Full Stack Developer,ModelManagement,11 July 2020,Yerevan,https://staff.am/en/full-stack-developer-114
389,Իրավաբան,Digitain ,11 July 2020,Yerevan,https://staff.am/en/iravaban-71
390,Import Specialist,Մեգա Ֆուդ ՍՊԸ,11 July 2020,Yerevan,https://staff.am/en/import-specialist-28
391,Product Development Manager,Digitain ,11 July 2020,Yerevan,https://staff.am/en/product-development-manager
392,Cashier,Black Star Burger Armenia,11 July 2020,Yerevan,https://staff.am/en/chief-head-cook
393,"Business Intelligence Engineer, Healthcare Communications Solutions",DataArt Armenia,30 June 2020,Yerevan,https://staff.am/en/business-intelligence-engineer-healthcare-communications-solutions
394,Մոնտաժող,Tert.am,30 June 2020,Yerevan,https://staff.am/en/montazog-4
395,Հաշվապահ,Digitain ,01 July 2020,Yerevan,https://staff.am/en/hasvapah-227
396,Վաճառող խորհրդատու,360° ՇԻՆԲԱԶԱ,11 July 2020,Yerevan,https://staff.am/en/vacarog-xorhrdatu-68
397,Գանձապահ,360° ՇԻՆԲԱԶԱ,11 July 2020,Yerevan,https://staff.am/en/ganjapah-36
398,Business Development Manager,WIC WorldCom International ,10 July 2020,Yerevan,https://staff.am/en/business-development-manager-41
399,Narrative Designer / Screenwriter,Playrix AM,10 July 2020,Yerevan,https://staff.am/en/narrative-designer-screenwriter
400,3D Generalist,Digitain ,10 July 2020,Yerevan,https://staff.am/en/3d-generalist
401,Game Designer / Level Designer ,Playrix AM,10 July 2020,Yerevan,https://staff.am/en/game-designer-level-designer
402,Customer Support Specialist,WIC WorldCom International ,10 July 2020,Yerevan,https://staff.am/en/customer-support-specialist-88
403,Գանձապահ` «Վանաձոր» մասնաճյուղում,Fast Credit Capital UCO CJSC,10 July 2020,Vanadzor,https://staff.am/en/ganjapah-vanajor-masnacyugum-1
404,Angular Developer,Viveo Health,10 July 2020,Yerevan,https://staff.am/en/angular-developer-49
405,Cook for Middle eastern cuisine,Partner Company,10 July 2020,Yerevan,https://staff.am/en/cook-for-middle-eastern-cuisine
406,Cook for Italian cuisine,Partner Company,10 July 2020,Yerevan,https://staff.am/en/cook-for-italian-cuisine
407,Chef For Food Delivery Service,Partner Company,10 July 2020,Yerevan,https://staff.am/en/chef-for-food-delivery-service
408,Junior Accountant,Triple Consulting,10 July 2020,Yerevan,https://staff.am/en/junior-accountant-14
409,"Senior Software Engineer, Front-End",MentorcliQ,10 July 2020,Yerevan,https://staff.am/en/senior-software-engineer-front-end-4
410,SENIOR SOFTWARE DEVELOPER PHP / MYSQL (M/F/D),Powerdata,10 July 2020,Yerevan,https://staff.am/en/senior-software-developer-php-mysql-mfd-1
411,(SENIOR) DATA/DATABASE ARCHITECT (M/F/D),Powerdata,10 July 2020,Yerevan,https://staff.am/en/senior-datadatabase-architect-mfd-9
412,(SENIOR) DEVOPS ENGINEER (M/F/D),Powerdata,10 July 2020,Yerevan,https://staff.am/en/senior-devops-engineer-mfd-1
413,(SENIOR) SOFTWARE/AWS ARCHITECT (M/F/D),Powerdata,10 July 2020,Yerevan,https://staff.am/en/senior-softwareaws-architect-mfd-1
414,Software Developer,UNICOMP CJSC,10 July 2020,Yerevan,https://staff.am/en/software-developer-74
415,Logistics-cordinator,Assets CJSC,10 July 2020,Yerevan,https://staff.am/en/logistics-cordinator-1
416,Import specialist,Atenk Ltd,14 July 2020,Yerevan,https://staff.am/en/import-specialist-27
417, Linux/Unix Administrator,Ucom CJSC,10 July 2020,Yerevan,https://staff.am/en/linuxunix-administrator-1
418, Fraud and revenue assurance analyst,Ucom CJSC,10 July 2020,Yerevan,https://staff.am/en/fraud-and-revenue-assurance-analyst-12
419,Technical Program Manager ,Workfront Armenia,10 July 2020,Yerevan,https://staff.am/en/technical-program-manager-4
420,Audit Intern,Ernst and Young CJSC (EY),09 July 2020,Yerevan,https://staff.am/en/audit-intern
421,Associate Product Owner,Synergy International Systems,09 July 2020,Yerevan,https://staff.am/en/associate-product-owner-1
422,Head of Technical (Monitoring) Support Team,Telcell CJSC,09 July 2020,Yerevan,https://staff.am/en/head-of-technical-support-team-4
423,Logistics Coordinator ,ArcaTrans,08 July 2020,Yerevan,https://staff.am/en/logistics-coordinator-5
424,Վերստուգող,ԿՐԵԴՈ ՖԻՆԱՆՍ ՈՒՎԿ ՓԲԸ,09 July 2020,Yerevan,https://staff.am/en/verstugog-3
425,Live Trader,Digitain ,09 July 2020,Yerevan,https://staff.am/en/live-trader
426,Quality Assurance Engineer,InConcept Labs,30 June 2020,Yerevan,https://staff.am/en/quality-assurance-engineer-11
427,Full-stack JavaScript developer,InConcept Labs,30 June 2020,Yerevan,https://staff.am/en/full-stack-javascript-developer-25
428, Billing systems support specialist,VEON Armenia CJSC,09 July 2020,Yerevan,https://staff.am/en/billing-systems-support-specialist
429,Content and SMM Specialist,DIMARK Internet Marketing,30 June 2020,Yerevan,https://staff.am/en/content-and-smm-manager-5
430,Հաշվապահ,Liqvor CJSC,09 July 2020,Yerevan,https://staff.am/en/accountant-448
431,Innovation Strategist,FAST,09 July 2020,Yerevan,https://staff.am/en/innovation-strategist
432,Research Analyst,FAST,09 July 2020,Yerevan,https://staff.am/en/research-analyst-12
433,Operations Manager,Evolution Gaming,30 June 2020,Yerevan,https://staff.am/en/operations-manager-14
434,Sales manager,Garage Masters' Mall,09 July 2020,Yerevan,https://staff.am/en/sales-manager-398
435,Experienced .NET Developer,VOLO,03 July 2020,Yerevan,https://staff.am/en/experienced-net-developer-10
436,Business Risk Services Consultant / IT Auditor,Գրանթ Թորնթոն ՓԲԸ,09 July 2020,Yerevan,https://staff.am/en/business-risk-services-consultant-it-auditor
437,PHP Developer ,ՋՈՅՆԹՈՒՀԱՅՐ ,09 July 2020,Yerevan,https://staff.am/en/php-developer-199
438,DevOps Engineer,TIDEPOOL LABS,09 July 2020,Yerevan,https://staff.am/en/devops-engineer-240
439,Հաճախորդների սպասարկան մասնագետ,Էվրի Դեյ ՓԲԸ,09 July 2020,Yerevan,https://staff.am/en/hacaxordneri-spasarkan-masnaget
440,Customer Support Specialist,Digitain ,09 July 2020,Yerevan,https://staff.am/en/customer-support-specialist-85
441,Senior QA Engineer,Inecobank CJCS,08 July 2020,Yerevan,https://staff.am/en/senior-qa-engineer-143
442,Merchandiser,ԿՈՒԲ ԳՐՈՒՊ ՍՊԸ,09 July 2020,Yerevan,https://staff.am/en/merchandiser-28
443,Operations & Finance Manager,International Development Group LLC,30 June 2020,Yerevan,https://staff.am/en/operations-finance-manager-4
444,IT Business Manager,Web Projects,08 July 2020,Yerevan,https://staff.am/en/it-business-manager-10
445,Senior UI/UX Designer - UCRAFT,SoftConstruct,08 July 2020,Yerevan,https://staff.am/en/uiux-designer-ucraft-10
446,Store Manager,Swarovski Partner Store Yerevan,08 July 2020,Yerevan,https://staff.am/en/store-manager-31
447,Որակի կառավարման համակարգի մասնագետ,Սերտիֆիկացման միջազգային կենտրոն ՍՊԸ,08 July 2020,Yerevan,https://staff.am/en/oraki-karavarman-hamakargi-masnaget
448,Key Account Manager,BeSofted Group,08 July 2020,Yerevan,https://staff.am/en/key-account-manager-8
449,Engineer-Designer,Melinet,05 July 2020,Yerevan,https://staff.am/en/engineer-designer
450,UI Developer,Synergy International Systems,08 July 2020,Yerevan,https://staff.am/en/ui-developer-44
451,PHP developer,Rocket Systems,30 June 2020,Yerevan,https://staff.am/en/php-developer-196
452,WordPress Developer,Web Projects,08 July 2020,Yerevan,https://staff.am/en/wordpress-developer-83
453,IT Project Manager,Brainstorm Technologies,08 July 2020,Yerevan,https://staff.am/en/it-project-manager-77
454,Senior React.js Developer - UCRAFT,SoftConstruct,08 July 2020,Yerevan,https://staff.am/en/senior-reactjs-developer-ucraft
455,Շինարարության պատասխանատու,ASEDL LLC,08 July 2020,Yerevan,https://staff.am/en/sinararutyan-patasxanatu-1
456,IT specialist,ASEDL LLC,08 July 2020,Yerevan,https://staff.am/en/it-specialist-48
457,Active sales specialist,HouseNet,08 July 2020,Armavir,https://staff.am/en/active-sales-specialist-23
458,English Speaking IT Support Specialist,Envirotech,07 July 2020,Yerevan,https://staff.am/en/english-speaking-it-support-specialist-1
459,Senior React Engineer,Pangea Cloud Solutions,07 July 2020,Yerevan,https://staff.am/en/senior-react-engineer-28
460,Հանրային ծառայությունների և ադմինիստրատիվ աշխատանքների համակարգող,Digitain ,06 July 2020,Yerevan,https://staff.am/en/hanrayin-carayutyunneri-ev-administrativ-asxatankneri-hamakargog
